 日期 , 时间 , 纬度方向 , 纬度／度 , 经度方向, 经度／度 , 航向／度 ，海拔／米 ,速度/km/h , 卫星颗数／颗
2017年05月10日,9时35分31秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分32秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分33秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分34秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分35秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分36秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分37秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分38秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分39秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分40秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分41秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分42秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分43秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分44秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分45秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分46秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分47秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分48秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分49秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分50秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分51秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分52秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分53秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 07
2017年05月10日,9时35分54秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分55秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分56秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分57秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分58秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时35分59秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分0秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分1秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分2秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分3秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分4秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分5秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分6秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分7秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分8秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分9秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分10秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分11秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分12秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分13秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分14秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分15秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分16秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分17秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分18秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分19秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分20秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分21秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分22秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分23秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分24秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分25秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 08
2017年05月10日,9时36分26秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分27秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分28秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分29秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分30秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 10
2017年05月10日,9时36分31秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分32秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分33秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分34秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分35秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分36秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
2017年05月10日,9时36分37秒，   4047.719, N,  11141.695, E, 347.2, 1057, 0.00, 09
